Object Number,Section Number,Restuarant Name,Restaurant Street Address,Restaurant City,State,Pattern,Pattern varient,Additional Design,Vessel form,Rim Diameter (cm),Vessel Height (in cm),Thickness of Vessel Walls (in mm),Thickness of Lip (in mm),Foot Rim Diameter (cm),Height of foot (in mm),Mark (use letter code sheet),"Sticker (use code, 0=none)",Weight (in grams),Year Opened,Year Closed,Additional Design,Style of Food Sold,Surname,Place of Birth,Date Range for Artifact,Citation/Link,Photos
FSL-287,110,Hongkong Restaurant,,Los Angeles,CA,Dragon and Phoenix,DP IV,Characters in Chinese above the restaurant name,Teacup,7.5,5,6.5,6.5,3.5,2.5,K,0,126.48,,,,,,,,,
FSL-301,112,Jimmy Wong's Golden Dragon,414 University Ave.,San Diego,CA,Dragon and Phoenix,DP IV,Peacock,Tea Cup,7.8 cm,5 cm,6.20mm,6.3 mm,3.8 cm,2 mm,B,0,144.11g,1955,2006,FOODS TO TAKE OUT,,,,,,
FSL-106,103,Tao Tao Cafe,175 So. Murphy Ave. ,Sunnyvale ,CA,Dragon and Phoenix ,DP IV,n/a,Tea Cup ,7.6,4.7,5.44,6.38,3.8,4,B,0,145.95,1951,Still Open ,Squared Pattern on lip,Chinese-American ,Lee,China,,,
FSL-111,104,SHANGHAI LOW CAFE,1815 4TH. ST.,Eureka,CA,Dragon and Phoenix (DP),DP VI,N/A,Cup,7.6,5.3,6.122,7.455,3.7,0.8,C,0,138.89,N/A,N/A,,,,,,,
FSL-281,103,Rice Bowl ,Bakerfield California ,Bakerfield ,CA,"Dragon, Chinese Letters, sun like pattern`",RD,Patterned lines,teacup ,8,5,0.44,6.2,3.5,2.5,C,0,140.51,1947,Still Open,Red dragon and repeating patterned lines,Chinese-American,Hom,China,,,
FSL-120,104,MOYTEL LOS ANGELES CHINATOWN,946 Yale St,Los Angeles,CA,GL,III,N/A,ashtray,10,5,11.9,4.7,4.9,2,D,0,96.42,N/A,N/A ,,,,,,,
FSL-127,102,Song Hay,1180 E. Highland Ave.,San Bernardino,CA,God of Longevity,GL III,Restaurant Logo,Ash Tray,9.7,2.2,5.5,3.9,4.9,2,G,0,104.23,,,,Unknown,Unknown,Unknown,,,
FSL-125,104,George Ching's The Golden Lion,3311 N Tyler Ave,El Monte,CA,God of Longevity,GL III,N/A,ashtray,9.6,1.9,5.75,2.86,6,2.1,D,0,91.11,N/A,N/A ,,,,,,,
FSL-307,104,Yuet Sue's Tea House,2332 S. Mooney Blvd,Visalia,CA,God of Longevity,III,small red shape added above main design,cup,7.62,5,6.975,7.113,3.81,8,D,0,144.34,"Jan 28, 1960",~1975,,,,,,,
FSL-115,106,Gang Sue's Teagarden,1200 N. Main,Porterville,CA,God of Longevity,GL III,,Ashtray/plate,10.2,2.5,0.1-1.3,0.1-1.3,0.4,2,G,0,98,1949,1990,,,,,,,
FSL-126,103,Oriental Gardens,9856 Magnolia Ave.,Arlington,CA,"God of longevity, accompanied by a male child dressed in servant clothing and a solid dark brown deer",GL II,Gilded edges,Ashtray,10,9.9,1.9,3.989,5.6,6,C,FSL-126,91.48,1962,1988 (changed owners - is now Chen Ling Palace),"God of longevity, male servant child, solid light brown deer, gold rim",American-Chinese-Cantonese,Unknown,"Unknown, likely China",,,
FSL-095,104,Woo's Garden,11035 S. Crenshaw,Inglewood,CA,Two (2 Women),TW I,n/a,cup,6,4.8,7.326,8.691,3.6,2,D,0,165.06,n/a,n/a,,,,,,,
FSL-102,107,The Polynesian,Herschel at Silverado,La Jolla,CA,Two (TW ,TW 1,N/A,cup,7.7,5,5,7,1.5,3,D,0,, ≤1960,≥1980,None,,,,,,
FSL-087,102,Royal Canton Cafe,641 1st St,Encinitas,CA,Two Women,TW1,"Restaurant Logo w ""Guang Dong"" written in Chinese",Teacup,7.5,4.7,5.407,7.496,3.7,2,D,0,143.33,1980,2012,,,,,,,
FSL-088,102,Ming's Chinese ,17812 S. Bellflower Blvd,Bellflower,CA,Two Women,TW1,Restaurant Logo,Teacup,7.5,5,6.009,7.764,3.7,3,D,0,142.8,1952,2018,,,,,,,
FSL-098,102,Lem's Cafe ,320 E. First St.,Los Angeles,CA,Two Women,TW 1,Resturant Name,Teacup,7.3,5.2,5.703,6.936,3.7,2,D,0,135.93,,,,Chinese (mandarin),Lim,,,,N/A
FSL-103,103,Yuet Sue's Tea House,2332 S. Mooney Blvd,Visali,CA,Two Women,TW 1,Restaurant Logo,Teacup,7.5,4.9,0.607,0.7,3.7,0.3,B,0,147.08,1960,TBD (sometime before 2024; currently is a Denny's),,Chinese (mandarin),Sue,N/A,1960s,,
FSL-109,102,Ace Chop Suey,7001 E. 14th. St.,Oakland,CA,Two Women,TW1,restaurant logo,Teaup,7.5,4.7,5.324,6.806,3.5,2,K,0,129,1950,,,,,,,,
FSL-112,102,The Polynesian Restaurant,7805 Herschel Avenue,La Jolla,CA,Two Women,TW I,Restaurant Logo,Teacup,7.6,5.2,6.7,5.1,3.8,2,D,0,126.69,,,,"Chinese, Cantonese, Polynesian inspired",Chung,Canton,1960s,,
FSL-280,102,Fong's Chinese Dihn-s,4608 E. Tulare St.,Fresno,CA,Two Women,TW1,Resturant Logo,Teacup,7.4,4.8,5.258,5,3.5,2,B,0,154.3,1957,Still in business,,,Fong,,,,
FSL-086,103,Pagoda Cafe,911 Glenwood St.,Delano,CA,Two women,TW I,Gold trim,Teacup,7.1,5,6.34,6.94,3.1,3,B,0,135,,1988,,Chinese Takeout,Wong,China,,,
FSL-097,103,Young China Cafe,5122 Whittier Blvd.,Los Angeles,CA,Two women,TW II,N/A,Teacup,7.6,5.65,6.361,6.348,3.7,5,E,0,144.57,nonexistant info :((,,,,,,,,
FSL-099,103,Kaye's Korner,N/A,Riverside,CA,Two Women,TW 1,"Trees, Shrubs",Tea Cup,7.6,4.9,5.4,8,3.8,3,D,FSL-99,138.92,No info. No record of Kaye's Corner,No info. No record of Kaye's Corner.,,,,,,,
FSL-113,103,Sampan ,420 S Brookhurst,Brookhurst,CA,Two women,TWII,Restaurant picture,Tea Cup,7.5,5,7,8,3.5,5,G,FSL-113,151.35,1960s,2012?,N2SB on 1960 catalogue,,,,,,
FSL-083,104,Chungking Cafe,327 E. Center St.,Anaheim,CA,Two Women,TW1,"yes, restaurant information",cup,7.8,5.2,3.5,1,3.2,2,D,0,80.04,na,,,,,,,,
FSL-107,104,Sampan Cantonese Cusine,420 S. Brookhurst,Anaheim,CA,Two Women,TWII,N.A,Cup,8.8,4.8,7.4,8.25,3.7,4,E,0,156.1,N/A,N/A,,,,,,,
FSL-104,105,Lim's Cafe,592 N.Market St,Redding,CA,Two Women,TW I,"Some plants and building, one window",Tea cup,7.5cm,5cm,8mm,10mm,3.7cm,4mm,D,0,149.72g,,,,,,,,,
FSL-283,108,Jimmy's Oriental Gardens,"Santa Barbara, California",Santa Barbara ,CA,Two Women,TWI,,Cup,6cm,4.5cm,7.77mm,7.92mm,3.25cm,0.25mm,E,0,175.63g,1947,2006,,"American Chinese, eventually incorporated Szechuan",Chung,China,1960-2006,,
FSL-090,103,Holly Cafe,1429 Market ST.,Redding ,CA,Two women ,TW11,N/A,Tea Cup ,7.6,5.1,5.9,6.9,3.6,5,E,0,138.59,,,,,,,,,
FSL-089,104,Royal Canton Cafe,641 First St.,Encinitas ,CA,Two Women ,TWI,"Yes, Restaurant stamp on the other side of the cup",cup,7.6,4.4,6.7,7.18,3.8,2,D,0,137.22,"n/a: but was located on what is now S Coast Hwy 101  in downtown Encinitas, Ca according to the address. ",n/a,,,,,,,
FSL-093,102,The Great Wall,232 South Glendora Ave.,West Covina (Los Angeles),CA,Two Women seated in greenery,TW1,Restaurant name logo,Teacup,7.5,4.4,5.764,6.702,3.7,2,B,0,139.95,---,Present ,,,,,,,
FSL-114,103,Joy Yuen Low,425 Gin Ling Way,Los Angeles,CA,Yellow Luster and Flower,n/a,n/a,Tea Cup,7.8,5.5,3.927,5.898,3.2,5,K,0,108.48,1939,Before late 1970s,Yellow Luster and Flower R30 on 1960 catalog,,,,,,
FSL-365,120,Tao Lee Yon,816 Washington St. Chinatown,San Francisco,CA,No artistic pattern presented ,N/A,N/A,Tea cup — no handle,7.37,5.72,5.04,6.62,3.23,0.2,K,0,125.56,,,has a line of Chinese calligraphy in red,,,,,,
FSL-352,112,Tao Lee Yon,816 Washington St.,San Francisco,CA,no pattern,no pattern,"Has the name of the restaurant and the address in black on one side, on the other it has Chinese writing in red. There is a thin gold outline around the lip.",Tea Cup,10 cm,5.2 cm,7.128 mm,7.664 mm,4.9 cm,6 mm,G,0,231.06g,could not find,2006,"Name of the restaurant as well as address in black print, in red print has Chinese writing.","Chinese traditional food, more on the ""fancier"" end, dine in usually",Could not find,Could not find but I assume in China,manufactured date - 2006,,
FSL-366,120,Tao Lee Yon (桃李園酒家）,816 Washington St. Chinatown ,San Francisco,CA,Not found on object,N/A,,tea cup-no handle,7.5,5.4,5.147,5,3,3,K,0,127.47,<1977,<1977,,,,,,,
FSL-091,104,Jao Lee Yon,"816 Washington St., Chinatown",San Francisco,CA,other: red chinese text,B,n/a,cup,7.5,5.2,7,7,3.8,5,B,0,130.44,n/a,"2006, but reopened as Imperial Palace",,,,,,,
FSL-269,104,Golden Pagoda,950 Mei Ling Way,Los Angeles,CA,Other: Red Pagoda,N/A,N/A,Dish/Plate,10,1.75,2.5,2.3,5,3,D,0,49.65,1941,August 2016,,,,,,,
FSL-124,103,Sampan Cantonese Cuisine,"420 S, Brookhurst St",Brookhurst,CA,"Chinese characters, boat, house, water (no listed pattern code)",/,Gold-colored edges,Ashtray,10,2.2,2.043,2.493,4.5,5,C,FSL-124,94.76,1950s,mid-1970s,"Chinese caligraphy, boat, gold-gilded edges",Cantonese Food,Jung,,,,
FSL-268,102,Golden Pagoda,950 Mei Ling Wy,Los Angeles,CA,Custom,,restaurant logo,saucer,9.8,1.4,1.5-2,,5.3,1-2,D,0,48.15,,,,,,,,,
FSL-118,102,Bamboo Sky Chinese & American Restaurant ,490 S. Main,Orange,CA,"Custom: bamboo with a few blue lines on top as sky, same as the name.",NA,A chinese seal with chinese characters (restaurant name),ash tray,9.7,2.5,5.5,3.9,5.5,8,C,0,122.39,,,,"Chinese, with alcoholic drinks too",TBD,TBD,,,
